[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
cams-gkab/P338350	Lugalira
cams-gkab/P338350	Nabu
cams-gkab/P338355	Enlil
cams-gkab/P338355	Ninurta
cams-gkab/P338355	Nusku
cams-gkab/P338355	Ea
cams-gkab/P338355	Nabu
cams-gkab/P338357	Ea
cams-gkab/P338357	Šamaš
cams-gkab/P338357	Marduk
cams-gkab/P338357	Enlil
cams-gkab/P338357	Enkidu
cams-gkab/P338357	Palil
cams-gkab/P338357	Lugalira
cams-gkab/P338357	Meslamtaea
cams-gkab/P338357	Gilgameš
cams-gkab/P338357	Nabu
cams-gkab/P338358	Enkidu
cams-gkab/P338358	Marduk
cams-gkab/P338358	Lugalbanda
cams-gkab/P338358	Sin
cams-gkab/P338358	Šamaš
cams-gkab/P338358	Palil
cams-gkab/P338358	Lugalira
cams-gkab/P338358	Meslamtaea
cams-gkab/P338358	Zababa
cams-gkab/P338358	Gilgameš
cams-gkab/P338359	Gilgameš
cams-gkab/P338359	Anu
cams-gkab/P338359	Enlil
cams-gkab/P338359	Enkidu
cams-gkab/P338359	Marduk
cams-gkab/P338360	Belet-Ninua
cams-gkab/P338360	Bel
cams-gkab/P338360	Anu
cams-gkab/P338360	Aššur
cams-gkab/P338360	Nergal
cams-gkab/P338360	Belet-Arbail
cams-gkab/P338360	Ištar
cams-gkab/P338361	Zababa
cams-gkab/P338361	Baba
cams-gkab/P338361	Sin
cams-gkab/P338361	Adad
cams-gkab/P338373	Nudimmud
cams-gkab/P338373	Marduk
cams-gkab/P338373	Enlil
cams-gkab/P338373	Ea
cams-gkab/P338373	Nabu
cams-gkab/P338373	Tutu
cams-gkab/P338373	Šamaš
cams-gkab/P338374	Nudimmud
cams-gkab/P338374	Anu
cams-gkab/P338374	Enlil
cams-gkab/P338374	Igigi
cams-gkab/P338374	Anunnaki
cams-gkab/P338374	Sin
cams-gkab/P338374	Girra
cams-gkab/P338374	Šamaš
cams-gkab/P338374	Adad
cams-gkab/P338378	Namraṣit
cams-gkab/P338378	Šamaš
cams-gkab/P338378	Marduk
cams-gkab/P338378	Igigi
cams-gkab/P338378	Kittu
cams-gkab/P338378	Bunene
cams-gkab/P338378	Anu
cams-gkab/P338378	Enlil
cams-gkab/P338378	Ea
cams-gkab/P338379	Namraṣit
cams-gkab/P338379	Šamaš
cams-gkab/P338379	Marduk
cams-gkab/P338379	Igigi
cams-gkab/P338379	Sin
cams-gkab/P338379	Ningal
cams-gkab/P338379	Kittu
cams-gkab/P338382	Šamaš
cams-gkab/P338382	Enki
cams-gkab/P338382	Zababa
cams-gkab/P338382	Baba
cams-gkab/P338385	Igigi
cams-gkab/P338385	Anu
cams-gkab/P338385	Enlil
cams-gkab/P338385	Anunnaki
cams-gkab/P338385	Ea
cams-gkab/P338385	Sin
cams-gkab/P338385	Ningal
cams-gkab/P338385	Marduk
cams-gkab/P338388	Nabu
cams-gkab/P338388	Šamaš
cams-gkab/P338388	Sin
cams-gkab/P338388	Ninŋirsuk
cams-gkab/P338388	Igigi
cams-gkab/P338388	Erra
cams-gkab/P338388	Ištaran
cams-gkab/P338390	Anu
cams-gkab/P338390	Enlil
cams-gkab/P338390	Ea
cams-gkab/P338390	Anunnaki
cams-gkab/P338390	Sebettu
cams-gkab/P338390	Asalluhi
cams-gkab/P338390	Ninurta
cams-gkab/P338390	Marduk
cams-gkab/P338390	Ninlil
cams-gkab/P338401	Marduk
cams-gkab/P338401	Asakku
cams-gkab/P338401	Lamaštu
cams-gkab/P338401	Šamaš
cams-gkab/P338401	Sin
cams-gkab/P338401	Nergal
cams-gkab/P338401	Ištar
cams-gkab/P338401	Papsukkal
cams-gkab/P338401	Annunitu
cams-gkab/P338401	Anu
cams-gkab/P338401	Enlil
cams-gkab/P338401	Ea
cams-gkab/P338401	Ninmah
cams-gkab/P338401	Adad
cams-gkab/P338401	Ninurta
cams-gkab/P338401	Zababa
cams-gkab/P338401	Tišpak
cams-gkab/P338401	Ninŋirsuk
cams-gkab/P338401	Uraš
cams-gkab/P338401	Asari
cams-gkab/P338401	Asalluhi
cams-gkab/P338401	Tutu
cams-gkab/P338401	Sebettu
cams-gkab/P338401	Antu
cams-gkab/P338401	Gula
cams-gkab/P338401	Baba
cams-gkab/P338402	Asakku
cams-gkab/P338402	Marduk
cams-gkab/P338402	Šamaš
cams-gkab/P338402	Sin
cams-gkab/P338402	Nergal
cams-gkab/P338402	Ištar
cams-gkab/P338402	Papsukkal
cams-gkab/P338402	Annunitu
cams-gkab/P338402	Anu
cams-gkab/P338402	Enlil
cams-gkab/P338402	Ea
cams-gkab/P338402	Ninmah
cams-gkab/P338402	Adad
cams-gkab/P338402	Ninurta
cams-gkab/P338402	Zababa
cams-gkab/P338402	Tišpak
cams-gkab/P338402	Ninŋirsuk
cams-gkab/P338402	Uraš
cams-gkab/P338402	Asari
cams-gkab/P338402	Asalluhi
cams-gkab/P338402	Tutu
cams-gkab/P338402	Sebettu
cams-gkab/P338402	Ennugi
cams-gkab/P338402	Nusku
cams-gkab/P338402	Gula
cams-gkab/P338402	Baba
cams-gkab/P338404	Annunitu
cams-gkab/P338404	Aššur
cams-gkab/P338404	Enlil
cams-gkab/P338404	Nabu
cams-gkab/P338442	Šamaš
cams-gkab/P338442	Marduk
cams-gkab/P338452	Zarpanitu
cams-gkab/P338452	Marduk
cams-gkab/P338491	Enki
cams-gkab/P338491	Ea
cams-gkab/P338491	Ninki
cams-gkab/P338491	Namtar
cams-gkab/P338492	Namtar
cams-gkab/P338492	Asalluhi
cams-gkab/P338492	Enki
cams-gkab/P338492	Ea
cams-gkab/P338492	An
cams-gkab/P338492	Anu
cams-gkab/P338492	Utu
cams-gkab/P338492	Šamaš
cams-gkab/P338498	Enki
cams-gkab/P338498	Ea
cams-gkab/P338498	Nintinuga
cams-gkab/P338498	Gula
cams-gkab/P338498	Damu
cams-gkab/P338499	Belet-ili
cams-gkab/P338499	Enlil
cams-gkab/P338511	Erra
cams-gkab/P338511	Dimme
cams-gkab/P338511	Dimmea
cams-gkab/P338511	Lamaštu
cams-gkab/P338511	Enki
cams-gkab/P338511	Ea
cams-gkab/P338511	Nabu
cams-gkab/P338517	Asari
cams-gkab/P338517	Marduk
cams-gkab/P338517	Namma
cams-gkab/P338517	Nanše
cams-gkab/P338517	Asalluhi
cams-gkab/P338517	Enki
cams-gkab/P338517	Ninki
cams-gkab/P338517	Kugsud
cams-gkab/P338517	Enlil
